Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
AMD Radeon R5 A240,GPU,2014-01-01,28.0,,56.0,690.0,1030.0,TSMC,AMD,,659.2,
NVIDIA Quadro 4100,GPU,,28.0,35.0,294.0,3540.0,797.0,TSMC,NVIDIA,,2142.0,89.26
NVIDIA GeForce 310M,GPU,2010-01-10,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,,48.96,
NVIDIA Tesla T10 Processor,GPU,2009-04-09,55.0,188.0,470.0,1400.0,610.0,TSMC,NVIDIA,,622.1,77.76
NVIDIA Quadro M520 Mobile,GPU,2017-01-11,28.0,25.0,,,1041.0,TSMC,NVIDIA,,799.5,24.98
Intel GMA X3500,GPU,2007-08-01,90.0,13.0,,,667.0,Intel,Intel,,,
ATI Mobility Radeon HD 3870,GPU,2008-06-04,55.0,55.0,192.0,666.0,660.0,TSMC,ATI,,422.4,84.48
NVIDIA GeForce4 Ti 4200-8X,GPU,2002-02-06,150.0,,101.0,36.0,250.0,TSMC,NVIDIA,,,
NVIDIA GeForce 810M,GPU,2014-03-24,28.0,15.0,116.0,585.0,738.0,TSMC,NVIDIA,,141.7,11.81
Intel HD Graphics 6000,GPU,2014-09-05,14.0,15.0,133.0,,300.0,Intel,Intel,,729.6,182.4
NVIDIA GeForce RTX 2080 SUPER,GPU,2019-07-23,12.0,250.0,545.0,13600.0,1650.0,TSMC,NVIDIA,22300.0,11150.0,348.5
ATI Mobility Radeon X1600 Mac Edition,GPU,2007-11-08,90.0,,150.0,157.0,398.0,TSMC,ATI,,,
AMD Radeon HD 6630M,GPU,2011-01-04,40.0,26.0,104.0,716.0,500.0,TSMC,AMD,,480.0,
AMD Radeon R5 330 OEM,GPU,2015-05-05,28.0,50.0,56.0,690.0,830.0,TSMC,AMD,,547.2,
NVIDIA GeForce 8400 GS,GPU,2007-04-17,80.0,40.0,127.0,210.0,459.0,TSMC,NVIDIA,,29.38,
AMD Radeon HD 7730M,GPU,2012-04-24,28.0,25.0,123.0,1500.0,575.0,TSMC,AMD,,691.2,43.2
AMD Radeon HD 7670A,GPU,2012-01-05,40.0,45.0,118.0,716.0,600.0,TSMC,AMD,,576.0,
AMD Radeon HD 7310 IGP,GPU,2012-06-06,40.0,18.0,75.0,450.0,500.0,TSMC,AMD,,80.0,
ATI Radeon X1950 PRO DUAL,GPU,2007-01-10,80.0,130.0,230.0,330.0,575.0,TSMC,ATI,,,
ATI FireGL 8800,GPU,2001-08-14,150.0,,120.0,60.0,300.0,TSMC,ATI,,,
AMD FirePro S9100,GPU,2014-10-02,28.0,225.0,438.0,6200.0,824.0,TSMC,AMD,,4219.0,2109.0
AMD Radeon HD 6650M,GPU,2011-01-04,40.0,,104.0,716.0,600.0,TSMC,AMD,,576.0,
AMD Radeon HD 7570M,GPU,2012-01-07,40.0,13.0,104.0,716.0,500.0,TSMC,AMD,,480.0,
AMD FirePro W4300,GPU,2015-12-01,28.0,50.0,160.0,2080.0,930.0,TSMC,AMD,,1428.0,89.28
AMD Radeon Vega 10 Mobile,GPU,2019-01-08,14.0,10.0,210.0,4940.0,300.0,GF,AMD,3331.0,1665.0,104.1
NVIDIA GeForce 820A,GPU,2014-03-17,28.0,15.0,116.0,585.0,775.0,TSMC,NVIDIA,,297.6,24.8
ATI Radeon X740 XL,GPU,2005-03-07,110.0,,156.0,120.0,425.0,TSMC,ATI,,,
NVIDIA GeForce RTX 2060 Max-Q,GPU,2020-01-29,12.0,65.0,445.0,10800.0,975.0,TSMC,NVIDIA,9101.0,4550.0,142.2
ATI Mobility Radeon X700 XL,GPU,2005-03-01,110.0,,156.0,120.0,350.0,TSMC,ATI,,,
ATI Radeon X1800 CrossFire Edition,GPU,2005-12-20,90.0,113.0,288.0,321.0,600.0,TSMC,ATI,,,
AMD Radeon R7 M380,GPU,2015-05-05,28.0,,123.0,1500.0,900.0,TSMC,AMD,,1171.0,73.2
NVIDIA GeForce MX110,GPU,2017-11-17,28.0,30.0,,,978.0,TSMC,NVIDIA,,772.6,24.14
NVIDIA NVS 510,GPU,2012-10-23,28.0,35.0,118.0,1270.0,797.0,TSMC,NVIDIA,,306.0,12.75
AMD Radeon HD 7570,GPU,2012-01-05,40.0,60.0,118.0,716.0,650.0,TSMC,AMD,,624.0,
NVIDIA GeForce 9800M GT,GPU,2008-07-29,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
NVIDIA GeForce 7000M + nForce 610M,GPU,2006-02-01,90.0,,81.0,112.0,350.0,Unknown,NVIDIA,,,
NVIDIA Quadro FX 4600,GPU,2007-03-05,90.0,134.0,484.0,681.0,500.0,TSMC,NVIDIA,,230.4,
NVIDIA GeForce 7050 PV + nForce 630a,GPU,2006-02-01,90.0,,81.0,112.0,425.0,Unknown,NVIDIA,,,
AMD Radeon HD 7770 GHz Edition,GPU,2012-02-15,28.0,80.0,123.0,1500.0,1000.0,TSMC,AMD,,1280.0,80.0
ATI Mobility Radeon 9000 IGP,GPU,2003-05-01,150.0,,92.0,76.0,300.0,Unknown,ATI,,,
NVIDIA GeForce 8800M GTX,GPU,2007-11-01,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
ATI Radeon HD 5570,GPU,2010-02-09,40.0,39.0,104.0,627.0,625.0,TSMC,ATI,,500.0,
NVIDIA GeForce GT 640M LE,GPU,2012-03-22,28.0,20.0,118.0,1270.0,500.0,TSMC,NVIDIA,,384.0,16.0
